Rk,Player,Pos,Age,Tm,G,MP,PER▼,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Giannis Antetokounmpo\antetgi01,PF,25,MIL,57,1763,31.6,.608,.238,.500,7.8,34.5,22.0,33.9,1.5,2.9,13.1,37.4,,5.6,4.8,10.4,.282,,7.4,4.1,11.5,6.0
2,James Harden\hardeja01,SG,30,HOU,61,2241,28.4,.616,.555,.519,3.0,15.3,9.1,34.4,2.2,2.0,13.8,36.4,,8.7,2.7,11.5,.245,,7.9,1.2,9.0,6.3
3,Anthony Davis\davisan02,PF,26,LAL,55,1889,28.2,.614,.195,.460,7.3,22.1,14.9,14.6,2.1,6.2,10.1,29.7,,6.2,4.1,10.3,.262,,5.8,2.8,8.5,5.0
4,Luka Dončić\doncilu01,PG,20,DAL,54,1799,27.7,.584,.442,.442,4.1,24.7,14.6,45.3,1.6,0.5,14.6,37.0,,5.8,2.3,8.1,.215,,7.3,1.1,8.4,4.7
5,Kawhi Leonard\leonaka01,SF,28,LAC,51,1643,26.7,.585,.287,.344,3.3,19.7,11.7,27.0,2.6,1.7,10.7,33.2,,4.6,3.0,7.6,.222,,6.5,2.5,9.0,4.6
6,Karl-Anthony Towns\townska01,C,24,MIN,35,1187,26.5,.642,.445,.363,8.1,26.1,16.8,22.8,1.3,2.9,13.2,28.8,,3.8,1.3,5.1,.205,,7.0,0.8,7.8,2.9
7,Damian Lillard\lillada01,PG,29,POR,58,2140,26.2,.619,.493,.377,1.5,10.5,6.1,34.1,1.3,0.8,11.0,30.2,,8.9,0.7,9.6,.215,,7.9,-0.7,7.2,5.0
8,Joel Embiid\embiijo01,C,25,PHI,44,1329,26.0,.593,.230,.545,10.1,33.1,21.6,17.3,1.4,3.7,13.4,32.6,,3.2,2.4,5.6,.203,,4.1,1.2,5.2,2.4
9,LeBron James\jamesle01,PG,35,LAL,60,2094,26.0,.582,.324,.292,3.1,21.0,12.3,49.7,1.7,1.3,15.3,31.6,,6.1,3.4,9.5,.218,,6.8,1.9,8.7,5.7
10,Nikola Jokić\jokicni01,C,24,DEN,65,2101,25.0,.604,.233,.277,8.2,26.9,17.6,34.3,1.8,1.9,15.7,26.6,,6.0,3.2,9.2,.209,,5.4,2.3,7.6,5.1
11,Hassan Whiteside\whiteha01,C,30,POR,61,1911,25.0,.641,.010,.333,13.4,33.4,23.6,6.0,0.6,8.3,13.1,19.8,,5.1,3.0,8.1,.204,,2.5,0.7,3.2,2.5
12,Trae Young\youngtr01,PG,21,ATL,60,2120,23.9,.595,.455,.448,1.6,11.5,6.5,45.6,1.4,0.3,16.2,34.9,,5.4,0.5,5.9,.134,,6.3,-2.3,4.0,3.2
13,John Collins\collijo01,PF,22,ATL,41,1363,23.5,.659,.243,.248,9.0,24.0,16.4,7.6,1.1,4.1,10.1,22.7,,3.8,1.1,4.9,.174,,3.7,-0.7,3.1,1.7
14,Mitchell Robinson\robinmi01,C,21,NYK,61,1412,23.5,.726,.000,.434,13.7,18.8,16.2,3.9,1.8,8.0,8.3,13.3,,4.8,2.0,6.8,.230,,1.6,1.3,3.0,1.8
15,Jimmy Butler\butleji01,SF,30,MIA,54,1851,23.4,.583,.162,.679,6.2,15.2,10.9,28.1,2.4,1.6,11.2,25.2,,6.0,2.5,8.5,.219,,4.0,1.3,5.2,3.4
16,Christian Wood\woodch01,PF,24,DET,62,1325,23.2,.659,.276,.476,8.8,24.8,16.7,7.6,1.3,3.4,12.0,23.0,,3.6,1.5,5.1,.184,,3.5,-0.3,3.1,1.7
17,Bradley Beal\bealbr01,SG,26,WAS,57,2053,23.1,.579,.369,.351,2.7,10.6,6.5,29.1,1.6,1.0,11.4,34.4,,4.6,0.5,5.1,.119,,5.3,-2.4,2.9,2.5
18,Montrezl Harrell\harremo01,C,26,LAC,63,1749,23.1,.607,.022,.432,9.9,16.2,13.1,10.3,1.1,3.6,10.1,25.5,,4.5,2.5,7.0,.193,,2.4,0.5,2.9,2.2
19,Jonas Valančiūnas\valanjo01,C,27,MEM,62,1630,22.3,.631,.120,.256,12.5,31.9,22.4,10.2,0.7,3.7,12.8,21.4,,3.8,2.4,6.2,.182,,2.2,0.0,2.3,1.8
20,Andre Drummond\drumman01,C,26,TOT,57,1879,22.0,.553,.045,.375,14.9,37.5,26.0,13.6,2.8,4.2,18.2,25.9,,0.7,3.6,4.3,.109,,-0.1,1.1,1.0,1.4
21,Rudy Gobert\goberru01,C,27,UTA,62,2142,21.7,.700,.000,.725,11.3,31.3,21.8,6.5,1.1,4.8,15.2,16.1,,6.0,4.0,10.0,.225,,1.8,1.9,3.7,3.1
22,Chris Paul\paulch01,PG,34,OKC,63,2003,21.7,.609,.347,.311,1.2,15.5,8.6,33.4,2.4,0.4,13.0,23.2,,5.5,2.5,8.1,.194,,3.1,1.2,4.3,3.2
23,Nikola Vučević\vucevni01,C,29,ORL,54,1763,21.6,.540,.274,.160,7.6,29.4,18.1,20.0,1.3,2.4,7.3,25.8,,2.9,2.6,5.5,.150,,3.4,0.6,4.0,2.7
24,Russell Westbrook\westbru01,PG,31,HOU,53,1905,21.5,.539,.168,.289,5.1,18.4,11.7,35.0,2.1,0.8,14.9,34.4,,2.1,2.3,4.3,.109,,1.9,-0.1,1.8,1.8
25,Khris Middleton\middlkh01,SF,28,MIL,55,1653,21.4,.619,.374,.231,2.5,17.0,10.2,21.0,1.4,0.4,10.8,26.2,,4.3,3.1,7.4,.214,,3.4,0.9,4.4,2.7
26,DeMar DeRozan\derozde01,SF,30,SAS,61,2091,21.3,.597,.031,.419,2.0,15.7,8.9,26.0,1.4,0.6,11.5,26.6,,5.1,1.1,6.2,.143,,2.1,-0.5,1.6,1.9
27,Derrick Rose\rosede01,PG,31,DET,50,1298,21.1,.555,.195,.185,2.3,8.3,5.3,40.5,1.5,1.0,13.4,31.6,,1.9,0.6,2.5,.093,,4.0,-1.7,2.2,1.4
28,Steven Adams\adamsst01,C,26,OKC,58,1564,20.8,.605,.007,.413,14.4,23.8,19.3,13.5,1.6,3.5,14.1,17.2,,3.7,2.5,6.2,.190,,2.1,1.1,3.2,2.0
29,Ben Simmons\simmobe01,PG,23,PHI,54,1930,20.8,.608,.010,.460,6.2,18.0,12.1,34.8,2.9,1.4,20.6,20.9,,3.8,3.2,7.0,.174,,1.4,2.4,3.9,2.9
30,Clint Capela\capelca01,C,25,HOU,39,1279,20.7,.626,.000,.268,13.7,30.5,22.0,5.7,1.2,4.8,12.7,16.0,,2.9,2.1,5.0,.186,,1.1,0.4,1.5,1.1
31,Domantas Sabonis\sabondo01,C,23,IND,62,2159,20.7,.586,.079,.349,9.7,29.5,19.7,21.7,1.1,1.2,14.8,23.4,,4.2,3.3,7.6,.168,,2.1,1.1,3.2,2.9
32,Bam Adebayo\adebaba01,PF,22,MIA,65,2235,20.6,.606,.018,.476,8.7,25.0,17.2,23.6,1.7,3.8,17.5,20.8,,4.6,3.6,8.1,.175,,1.6,2.1,3.6,3.2
