,,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,,,
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attend.,Attend./G
1,Milwaukee Bucks*,29.2,53,12,52,13,11.29,-0.85,10.44,112.6,101.9,+10.7,105.0,.263,.423,.583,.553,12.8,20.7,.196,.486,12.2,81.7,.172,Fiserv Forum,549036,17711
2,Los Angeles Lakers*,29.6,49,14,45,18,7.41,0.34,7.75,113.0,105.6,+7.4,100.9,.268,.355,.577,.548,13.2,24.6,.196,.509,13.8,78.4,.202,STAPLES Center,588907,18997
3,Los Angeles Clippers,27.4,44,20,44,20,6.52,0.22,6.74,113.6,107.2,+6.4,101.8,.293,.370,.574,.532,12.7,24.0,.232,.503,12.3,77.3,.210,STAPLES Center,610176,19068
4,Toronto Raptors*,26.6,46,18,44,20,6.45,-0.57,5.88,111.6,105.2,+6.4,100.6,.256,.418,.574,.536,12.8,21.6,.205,.502,14.6,76.1,.200,Scotiabank Arena,633456,19796
5,Dallas Mavericks,26.2,40,27,45,22,6.04,-0.20,5.84,116.7,110.6,+6.1,99.1,.257,.461,.581,.548,11.3,23.5,.198,.519,10.9,77.4,.172,American Airlines Center,682096,20062
6,Boston Celtics*,25.3,43,21,44,20,6.17,-0.48,5.69,112.9,106.8,+6.1,99.3,.255,.382,.567,.529,12.0,23.9,.204,.510,13.6,77.5,.212,TD Garden,610864,19090
7,Houston Rockets,29.1,40,24,39,25,3.75,0.03,3.78,113.8,110.2,+3.6,103.3,.287,.488,.578,.539,12.6,22.4,.226,.528,13.5,75.6,.194,Toyota Center,578458,18077
8,Utah Jazz,27.5,41,23,38,26,3.17,0.03,3.20,112.6,109.4,+3.2,98.4,.269,.406,.587,.552,13.6,21.2,.208,.514,10.9,79.0,.180,Vivint Smart Home Arena,567486,18306
9,Denver Nuggets,25.6,43,22,39,26,2.95,0.06,3.02,112.5,109.5,+3.0,97.2,.230,.342,.564,.532,12.3,24.7,.178,.526,13.0,77.0,.194,Pepsi Center,633153,19186
10,Oklahoma City Thunder,25.6,40,24,37,27,2.45,0.34,2.79,111.6,109.1,+2.5,98.6,.292,.345,.577,.534,12.3,19.2,.233,.520,12.4,76.8,.164,Chesapeake Energy Arena,600699,18203
11,Miami Heat,25.9,41,24,39,26,3.23,-0.65,2.58,112.7,109.4,+3.3,98.1,.298,.413,.587,.549,13.5,20.5,.231,.522,12.3,79.7,.208,AmericanAirlines Arena,629771,19680
12,Philadelphia 76ers,26.4,39,26,37,28,2.22,0.00,2.22,110.4,108.2,+2.2,98.8,.252,.360,.562,.530,12.7,23.7,.189,.522,12.7,80.4,.211,Wells Fargo Center,639491,20629
13,Indiana Pacers,25.6,39,26,37,28,1.94,-0.33,1.61,110.3,108.3,+2.0,98.5,.217,.311,.565,.533,11.9,20.3,.170,.513,12.8,77.1,.193,Bankers Life Fieldhouse,529002,16531
14,New Orleans Pelicans,25.4,28,36,30,34,-0.83,1.13,0.30,110.8,111.6,-0.8,103.9,.252,.408,.567,.538,13.7,24.3,.183,.531,12.3,78.1,.207,Smoothie King Center,528172,16505
15,Orlando Magic,26.0,30,35,30,35,-0.97,0.12,-0.85,108.0,109.0,-1.0,98.3,.248,.360,.540,.503,11.4,22.4,.191,.535,13.5,79.0,.170,Amway Center,529870,17093
16,Phoenix Suns,24.7,26,39,30,35,-1.37,0.33,-1.04,110.5,111.8,-1.3,101.4,.273,.361,.572,.528,13.3,22.2,.226,.543,14.0,78.3,.221,Talking Stick Resort Arena,550633,15606
17,Memphis Grizzlies,24.0,32,33,30,35,-1.08,0.02,-1.05,109.4,110.4,-1.0,102.8,.234,.341,.561,.530,13.2,23.2,.178,.520,12.6,77.6,.213,FedEx Forum,523297,15857
18,Portland Trail Blazers,27.5,29,37,30,36,-1.61,0.49,-1.11,112.5,114.1,-1.6,100.7,.239,.371,.566,.530,11.5,22.0,.191,.523,11.0,75.0,.204,Moda Center,628303,19634
19,Brooklyn Nets,26.5,30,34,31,33,-0.64,-0.54,-1.18,108.1,108.7,-0.6,101.2,.268,.420,.550,.515,13.4,23.5,.199,.507,10.9,77.8,.181,Barclays Center,524907,16403
20,San Antonio Spurs,27.9,27,36,28,35,-1.76,0.57,-1.19,111.9,113.7,-1.8,100.0,.254,.321,.569,.529,11.0,19.5,.206,.542,11.5,79.2,.194,AT&T Center,550515,18351
21,Sacramento Kings,27.1,28,36,28,36,-1.92,0.48,-1.44,109.7,111.6,-1.9,98.4,.232,.395,.563,.531,13.0,21.8,.178,.540,13.6,78.5,.222,Golden 1 Center,520663,16796
22,Minnesota Timberwolves,24.8,19,45,24,40,-4.30,0.51,-3.78,108.1,112.2,-4.1,103.4,.277,.433,.551,.514,13.0,22.1,.209,.541,13.2,77.2,.218,Target Center,482112,15066
23,Chicago Bulls,24.4,22,43,26,39,-3.08,-0.73,-3.81,106.7,109.8,-3.1,99.7,.231,.396,.547,.515,13.7,22.8,.175,.546,16.3,75.6,.239,United Center,639352,18804
24,Detroit Pistons,25.9,20,46,26,40,-3.56,-0.66,-4.22,109.0,112.7,-3.7,97.6,.261,.381,.561,.529,13.8,22.6,.194,.541,12.7,75.9,.186,Little Caesars Arena,509469,15294
25,Washington Wizards,25.4,24,40,24,40,-4.05,-0.81,-4.86,111.9,115.8,-3.9,102.8,.272,.364,.568,.528,12.1,22.0,.214,.560,14.0,74.9,.230,Capital One Arena,532702,16647
26,New York Knicks,24.5,21,45,20,46,-6.45,-0.09,-6.55,106.5,113.0,-6.5,98.6,.263,.318,.531,.501,12.6,25.8,.182,.541,12.4,78.3,.224,Madison Square Garden (IV),620789,18812
27,Charlotte Hornets,24.3,23,42,19,46,-6.75,-0.12,-6.88,106.3,113.3,-7.0,95.8,.252,.399,.539,.504,13.3,23.9,.188,.546,13.1,74.4,.159,Spectrum Center,478591,15428
28,Atlanta Hawks,24.1,20,47,18,49,-7.97,0.40,-7.57,107.2,114.8,-7.6,103.0,.258,.398,.554,.515,13.8,21.6,.204,.543,12.7,74.9,.233,State Farm Arena,545453,16043
29,Cleveland Cavaliers,25.0,19,46,18,47,-7.89,0.33,-7.57,107.5,115.4,-7.9,98.7,.227,.362,.553,.522,14.6,24.6,.172,.560,11.7,77.4,.164,Quicken Loans Arena,643008,17861
30,Golden State Warriors,24.4,15,50,16,49,-8.71,0.79,-7.92,105.2,113.8,-8.6,100.3,.264,.355,.540,.497,13.2,21.5,.212,.553,13.7,76.4,.193,Chase Center,614176,18064
,League Average,26.2,,,32,32,0.00,0.00,0.00,110.4,110.4,,100.2,.258,.382,.564,.528,12.8,22.6,.199,.528,12.8,77.4,.199,,575820,17788
