Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Los Angeles Lakers*,63,15170,38.5,86.7,.444,11.1,32.6,.342,27.4,54.1,.506,17.5,22.6,.774,9.7,32.1,41.8,23.0,8.1,3.7,15.5,21.2,105.6
2,Toronto Raptors*,64,15460,37.5,87.4,.429,12.8,38.0,.337,24.6,49.4,.499,17.5,22.7,.768,11.0,34.7,45.7,25.3,7.0,5.2,16.6,19.7,105.2
3,Boston Celtics*,64,15485,38.3,86.7,.442,11.8,34.4,.342,26.5,52.3,.507,18.4,24.1,.761,10.2,34.0,44.3,22.2,7.0,5.6,15.3,20.6,106.8
4,Utah Jazz,64,15385,40.9,90.5,.452,11.2,32.0,.351,29.7,58.5,.507,16.3,21.2,.769,9.8,33.4,43.2,21.5,7.9,4.6,12.2,20.9,109.4
5,Oklahoma City Thunder,64,15460,41.4,90.6,.456,11.5,33.4,.344,29.9,57.2,.522,14.9,18.7,.795,10.5,34.2,44.8,23.2,6.8,4.1,14.1,23.0,109.1
6,Orlando Magic,65,15625,40.7,87.9,.463,12.6,33.9,.370,28.2,54.0,.522,15.0,19.4,.772,9.2,36.5,45.8,24.9,7.1,4.9,15.1,19.5,109.0
7,Milwaukee Bucks*,65,15650,36.8,89.0,.413,13.0,36.6,.356,23.7,52.4,.453,15.3,19.6,.784,9.0,34.4,43.4,22.6,7.0,4.3,13.6,20.2,101.9
8,Philadelphia 76ers,65,15675,39.8,86.2,.462,10.3,29.2,.354,29.5,57.1,.518,18.2,24.5,.742,8.6,33.6,42.2,22.9,7.0,3.9,14.1,20.5,108.2
9,Indiana Pacers,65,15700,39.8,88.9,.448,11.5,33.5,.345,28.3,55.4,.510,17.2,21.8,.789,10.2,34.9,45.1,23.4,6.9,4.5,14.5,18.8,108.3
10,Denver Nuggets,65,15750,40.3,87.9,.459,11.8,34.2,.346,28.5,53.7,.531,17.0,22.5,.756,10.2,33.5,43.7,25.5,7.3,4.6,14.6,20.4,109.5
11,Los Angeles Clippers,64,15435,38.5,88.2,.436,11.7,34.4,.341,26.8,53.8,.498,18.5,24.3,.762,10.6,33.8,44.5,23.0,7.7,4.8,13.9,22.3,107.2
12,Miami Heat,65,15825,39.0,87.4,.447,13.2,38.2,.346,25.8,49.2,.525,18.1,23.4,.776,9.2,33.2,42.4,24.8,7.6,4.3,13.7,21.6,109.4
13,Sacramento Kings,64,15510,40.1,85.8,.468,12.3,34.8,.355,27.8,51.0,.545,19.0,24.0,.793,9.1,34.7,43.8,24.7,7.9,4.4,15.2,19.5,111.6
14,Charlotte Hornets,65,15750,43.1,90.5,.476,12.8,36.2,.352,30.3,54.2,.558,14.4,19.0,.758,11.3,36.2,47.5,27.5,8.3,5.2,14.9,21.3,113.3
15,Brooklyn Nets,64,15560,40.2,91.0,.442,11.8,33.8,.350,28.4,57.2,.496,16.5,21.6,.763,10.5,34.4,44.9,21.9,7.6,5.2,12.3,20.4,108.7
16,Chicago Bulls,65,15675,39.5,82.4,.479,11.2,31.6,.353,28.3,50.8,.557,19.7,26.0,.759,10.1,35.3,45.5,25.4,8.1,5.9,18.2,19.1,109.8
17,San Antonio Spurs,63,15295,41.7,88.9,.469,13.0,34.5,.376,28.7,54.4,.528,17.3,22.4,.770,9.3,35.9,45.2,25.4,6.7,4.3,12.8,19.5,113.7
18,Detroit Pistons,66,15965,42.6,88.8,.480,10.9,30.1,.361,31.8,58.7,.541,16.5,21.2,.777,10.3,34.0,44.2,25.0,8.4,5.7,14.2,20.1,112.7
19,Houston Rockets,64,15435,40.6,88.1,.461,11.8,33.9,.348,28.8,54.2,.532,17.1,22.5,.761,10.7,34.6,45.3,24.4,7.6,4.7,15.2,20.0,110.2
20,Memphis Grizzlies,65,15625,39.6,88.1,.450,12.4,34.2,.363,27.2,53.9,.505,18.7,23.8,.786,10.2,33.5,43.7,24.1,7.7,5.2,14.2,19.2,110.4
21,Dallas Mavericks,67,16180,41.5,91.4,.454,11.9,34.4,.345,29.7,57.0,.520,15.7,20.7,.757,10.7,34.8,45.4,23.8,7.1,4.0,12.2,20.8,110.6
22,Phoenix Suns,65,15675,40.6,85.6,.475,11.6,31.6,.368,29.0,54.0,.537,18.9,24.2,.781,9.1,33.8,42.8,23.3,8.0,5.5,15.7,22.4,111.8
23,New York Knicks,66,15965,40.1,86.6,.463,13.4,35.1,.381,26.7,51.5,.520,19.4,25.9,.749,9.6,34.8,44.5,24.5,7.2,5.1,13.8,19.9,113.0
24,Cleveland Cavaliers,65,15725,44.1,89.9,.491,12.4,33.2,.375,31.7,56.7,.558,14.8,19.3,.767,9.8,33.3,43.1,26.3,9.5,6.4,13.1,19.8,115.4
25,Golden State Warriors,65,15725,41.7,87.6,.476,13.4,34.4,.389,28.4,53.2,.533,16.9,21.6,.783,10.1,35.9,46.0,25.8,8.2,4.9,15.5,19.9,113.8
26,New Orleans Pelicans,64,15510,40.9,87.9,.465,11.5,32.4,.355,29.4,55.6,.529,18.2,23.3,.782,9.5,33.4,43.0,23.5,8.2,4.6,13.8,19.6,111.6
