Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Los Angeles Lakers*,63,15170,2456,5527,.444,710,2076,.342,1746,3451,.506,1114,1439,.774,616,2049,2665,1464,514,235,986,1350,6736
2,Toronto Raptors*,64,15460,2428,5661,.429,831,2463,.337,1597,3198,.499,1131,1472,.768,714,2247,2961,1639,451,339,1077,1277,6818
3,Boston Celtics*,64,15485,2453,5554,.442,754,2206,.342,1699,3348,.507,1177,1546,.761,655,2179,2834,1420,446,356,981,1318,6837
4,Utah Jazz,64,15385,2582,5712,.452,709,2020,.351,1873,3692,.507,1030,1339,.769,616,2110,2726,1354,496,292,771,1318,6903
5,Oklahoma City Thunder,64,15460,2628,5757,.456,731,2122,.344,1897,3635,.522,945,1188,.795,668,2175,2843,1476,430,262,893,1462,6932
6,Orlando Magic,65,15625,2607,5628,.463,804,2171,.370,1803,3457,.522,959,1243,.772,591,2339,2930,1591,453,312,964,1248,6977
7,Milwaukee Bucks*,65,15650,2518,6097,.413,892,2509,.356,1626,3588,.453,1050,1339,.784,613,2358,2971,1547,481,297,929,1386,6978
8,Philadelphia 76ers,65,15675,2571,5564,.462,665,1881,.354,1906,3683,.518,1172,1579,.742,556,2166,2722,1475,452,251,913,1320,6979
9,Indiana Pacers,65,15700,2565,5727,.448,744,2158,.345,1821,3569,.510,1107,1403,.789,657,2249,2906,1505,445,291,935,1211,6981
10,Denver Nuggets,65,15750,2571,5606,.459,755,2183,.346,1816,3423,.531,1087,1437,.756,651,2134,2785,1626,464,292,931,1299,6984
11,Los Angeles Clippers,64,15435,2520,5776,.436,768,2255,.341,1752,3521,.498,1211,1589,.762,695,2216,2911,1508,503,314,908,1460,7019
12,Miami Heat,65,15825,2526,5653,.447,854,2469,.346,1672,3184,.525,1174,1512,.776,595,2146,2741,1606,490,275,888,1400,7080
13,Sacramento Kings,64,15510,2552,5457,.468,785,2212,.355,1767,3245,.545,1209,1525,.793,576,2207,2783,1570,501,278,965,1238,7098
14,Charlotte Hornets,65,15750,2708,5690,.476,803,2279,.352,1905,3411,.558,907,1197,.758,711,2276,2987,1732,523,328,935,1337,7126
15,Brooklyn Nets,64,15560,2638,5968,.442,775,2215,.350,1863,3753,.496,1079,1415,.763,688,2254,2942,1436,497,342,808,1335,7130
16,Chicago Bulls,65,15675,2568,5364,.479,726,2057,.353,1842,3307,.557,1283,1691,.759,660,2299,2959,1653,530,384,1187,1246,7145
17,San Antonio Spurs,63,15295,2657,5661,.469,827,2197,.376,1830,3464,.528,1099,1428,.770,590,2287,2877,1621,424,275,817,1239,7240
18,Detroit Pistons,66,15965,2768,5764,.480,705,1952,.361,2063,3812,.541,1072,1379,.777,668,2204,2872,1625,543,369,923,1308,7313
19,Houston Rockets,64,15435,2700,5853,.461,784,2250,.348,1916,3603,.532,1136,1493,.761,712,2299,3011,1619,505,315,1012,1329,7320
20,Memphis Grizzlies,65,15625,2653,5897,.450,831,2287,.363,1822,3610,.505,1254,1595,.786,680,2242,2922,1615,514,347,947,1283,7391
21,Dallas Mavericks,67,16180,2775,6110,.454,793,2298,.345,1982,3812,.520,1048,1385,.757,713,2324,3037,1592,474,269,818,1393,7391
22,Phoenix Suns,65,15675,2691,5668,.475,769,2090,.368,1922,3578,.537,1254,1605,.781,600,2236,2836,1545,529,367,1037,1485,7405
23,New York Knicks,66,15965,2631,5678,.463,877,2303,.381,1754,3375,.520,1270,1696,.749,632,2284,2916,1605,474,333,907,1305,7409
24,Cleveland Cavaliers,65,15725,2851,5811,.491,804,2143,.375,2047,3668,.558,955,1245,.767,633,2154,2787,1699,613,412,844,1277,7461
25,Golden State Warriors,65,15725,2743,5760,.476,879,2261,.389,1864,3499,.533,1113,1422,.783,661,2359,3020,1698,536,321,1016,1308,7478
26,New Orleans Pelicans,64,15510,2747,5903,.465,772,2172,.355,1975,3731,.529,1223,1563,.782,641,2245,2886,1576,549,309,927,1318,7489
27,Minnesota Timberwolves,64,15560,2760,5786,.477,740,2040,.363,2020,3746,.539,1263,1613,.783,647,2383,3030,1560,499,355,992,1383,7523
28,Portland Trail Blazers,66,15890,2744,6081,.451,876,2326,.377,1868,3755,.497,1242,1606,.773,780,2355,3135,1633,452,331,840,1302,7606
29,Washington Wizards,64,15435,2778,5672,.490,800,2119,.378,1978,3553,.557,1302,1686,.772,680,2282,2962,1618,481,323,1044,1435,7658
30,Atlanta Hawks,67,16280,2903,6078,.478,797,2194,.363,2106,3884,.542,1419,1839,.772,748,2402,3150,1674,600,428,1006,1404,8022
,League Average,65,15646,2643,5749,.460,785,2197,.357,1858,3552,.523,1143,1482,.771,655,2249,2904,1576,496,320,940,1332,7214
