Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Dallas Mavericks,67,16180,2787,6027,.462,1026,2779,.369,1761,3248,.542,1196,1548,.773,712,2438,3150,1640,419,334,857,1276,7796
2,Milwaukee Bucks*,65,15650,2830,5928,.477,893,2510,.356,1937,3418,.567,1159,1562,.742,617,2745,3362,1685,480,390,969,1247,7712
3,Houston Rockets,64,15435,2632,5803,.454,986,2832,.348,1646,2971,.554,1310,1664,.787,663,2212,2875,1375,541,329,939,1382,7560
4,Portland Trail Blazers,66,15890,2763,5998,.461,829,2228,.372,1934,3770,.513,1145,1434,.798,666,2335,3001,1333,401,411,858,1412,7500
5,Atlanta Hawks,67,16280,2723,6067,.449,805,2416,.333,1918,3651,.525,1237,1566,.790,661,2237,2898,1605,523,341,1086,1548,7488
6,New Orleans Pelicans,64,15510,2729,5902,.462,896,2409,.372,1833,3493,.525,1082,1485,.729,719,2290,3009,1728,486,328,1038,1345,7436
7,Los Angeles Clippers,64,15435,2664,5739,.464,778,2123,.366,1886,3616,.522,1330,1679,.792,701,2368,3069,1526,456,318,946,1411,7436
8,Washington Wizards,64,15435,2682,5821,.461,788,2117,.372,1894,3704,.511,1247,1584,.787,644,2024,2668,1621,519,273,900,1445,7399
9,Memphis Grizzlies,65,15625,2779,5913,.470,710,2019,.352,2069,3894,.531,1053,1384,.761,679,2357,3036,1757,520,363,992,1354,7321
10,Phoenix Suns,65,15675,2650,5709,.464,727,2061,.353,1923,3648,.527,1289,1560,.826,637,2163,2800,1766,507,261,980,1439,7316
11,Miami Heat,65,15825,2576,5486,.470,868,2265,.383,1708,3221,.530,1270,1633,.778,552,2343,2895,1689,480,291,968,1323,7290
12,Minnesota Timberwolves,64,15560,2586,5865,.441,853,2540,.336,1733,3325,.521,1223,1624,.753,675,2193,2868,1525,555,362,981,1370,7248
13,Boston Celtics*,64,15485,2634,5735,.459,794,2190,.363,1840,3545,.519,1170,1461,.801,683,2259,2942,1459,529,358,873,1368,7232
14,Toronto Raptors*,64,15460,2596,5665,.458,880,2369,.371,1716,3296,.521,1159,1448,.800,618,2275,2893,1624,565,316,924,1376,7231
15,Los Angeles Lakers*,63,15170,2704,5579,.485,703,1981,.355,2001,3598,.556,1092,1496,.730,668,2239,2907,1630,541,430,951,1299,7203
16,Denver Nuggets,65,15750,2719,5778,.471,707,1977,.358,2012,3801,.529,1031,1330,.775,699,2179,2878,1724,529,302,890,1303,7176
17,San Antonio Spurs,63,15295,2649,5638,.470,671,1809,.371,1978,3829,.517,1160,1434,.809,555,2244,2799,1546,454,345,773,1212,7129
18,Philadelphia 76ers,65,15675,2651,5701,.465,742,2052,.362,1909,3649,.523,1079,1435,.752,673,2282,2955,1682,531,349,923,1342,7123
19,Indiana Pacers,65,15700,2740,5744,.477,648,1787,.363,2092,3957,.529,979,1244,.787,573,2211,2784,1686,470,334,853,1274,7107
20,Utah Jazz,64,15385,2569,5413,.475,843,2200,.383,1726,3213,.537,1125,1457,.772,566,2320,2886,1419,377,256,954,1281,7106
21,Oklahoma City Thunder,64,15460,2578,5447,.473,666,1878,.355,1912,3569,.536,1267,1589,.797,517,2213,2730,1400,487,321,861,1205,7089
22,Brooklyn Nets,64,15560,2558,5763,.444,824,2423,.340,1734,3340,.519,1149,1545,.744,694,2409,3103,1539,413,292,993,1322,7089
23,Detroit Pistons,66,15965,2595,5658,.459,791,2157,.367,1804,3501,.515,1097,1476,.743,644,2109,2753,1589,490,299,1008,1299,7078
24,New York Knicks,66,15965,2638,5896,.447,631,1872,.337,2007,4024,.499,1076,1550,.694,795,2274,3069,1456,504,313,946,1464,6983
25,Sacramento Kings,64,15510,2583,5622,.459,808,2219,.364,1775,3403,.522,1001,1302,.769,616,2104,2720,1497,488,271,922,1400,6975
26,Cleveland Cavaliers,65,15725,2619,5715,.458,727,2070,.351,1892,3645,.519,983,1296,.758,704,2172,2876,1500,447,211,1073,1188,6948
27,Chicago Bulls,65,15675,2573,5762,.447,793,2282,.348,1780,3480,.511,1006,1332,.755,680,2041,2721,1510,652,265,1005,1417,6945
28,Orlando Magic,65,15625,2550,5773,.442,710,2080,.341,1840,3693,.498,1104,1434,.770,674,2220,2894,1559,543,372,820,1145,6914
29,Golden State Warriors,65,15725,2510,5730,.438,678,2032,.334,1832,3698,.495,1214,1511,.803,647,2138,2785,1663,534,299,969,1304,6912
30,Charlotte Hornets,65,15750,2425,5586,.434,785,2231,.352,1640,3355,.489,1052,1406,.748,715,2066,2781,1549,428,268,949,1223,6687
,League Average,65,15646,2643,5749,.460,785,2197,.357,1858,3552,.523,1143,1482,.771,655,2249,2904,1576,496,320,940,1332,7214
