"","Team Name","Elo Rating"
"1","Toronto Raptors",1664.74962292898
"2","Los Angeles Clippers",1632.54294397394
"3","Charlotte Hornets",1410.03690282152
"4","Indiana Pacers",1560.5118653042
"5","Orlando Magic",1490.66966880516
"6","Brooklyn Nets",1485.92180321877
"7","Miami Heat",1540.39841590992
"8","Philadelphia 76ers",1561.44505864628
"9","Dallas Mavericks",1531.91415242327
"10","San Antonio Spurs",1480.60435086458
"11","Utah Jazz",1596.09597207579
"12","Phoenix Suns",1418.2024930436
"13","Portland Trail Blazers",1486.94894985631
"14","Detroit Pistons",1335.86284742381
"15","Houston Rockets",1586.38258207488
"16","Golden State Warriors",1374.44072369331
"17","Boston Celtics",1606.37748411799
"18","Memphis Grizzlies",1504.58709195583
"19","New Orleans Pelicans",1504.5104284585
"20","Oklahoma City Thunder",1623.80963180458
"21","Denver Nuggets",1597.65993102661
"22","Sacramento Kings",1491.71238267544
"23","Los Angeles Lakers",1667.45358536538
"24","Milwaukee Bucks",1699.40623833829
"25","Atlanta Hawks",1386.75568522658
"26","New York Knicks",1372.9455507087
"27","Chicago Bulls",1354.9021563126
"28","Cleveland Cavaliers",1356.40383723532
"29","Minnesota Timberwolves",1353.24602317734
"30","Washington Wizards",1410.22037053252
