id,visitor_team,home_team,time,tv,date
0,Utah Jazz,Oklahoma City Thunder,8:00 p.m.,NBA LP,03-11-2020
1,New Orleans Pelicans,Sacramento Kings,10:00 p.m.,ESPN,03-11-2020
2,Chicago Bulls,Orlando Magic,7:00 p.m.,NBA LP,03-12-2020
3,Boston Celtics,Milwaukee Bucks,8:00 p.m.,TNT,03-12-2020
4,Memphis Grizzlies,Portland Trail Blazers,10:00 p.m.,NBA LP,03-12-2020
5,Brooklyn Nets,Golden State Warriors,10:30 p.m.,NBA LP,03-12-2020
6,Houston Rockets,Los Angeles Lakers,10:30 p.m.,TNT,03-12-2020
7,Cleveland Cavaliers,Charlotte Hornets,7:00 p.m.,NBA LP,03-13-2020
8,Washington Wizards,Boston Celtics,7:30 p.m.,NBA TV,03-13-2020
9,New York Knicks,Miami Heat,8:00 p.m.,NBA LP,03-13-2020
10,Minnesota Timberwolves,Oklahoma City Thunder,8:00 p.m.,NBA LP,03-13-2020
11,Denver Nuggets,San Antonio Spurs,8:30 p.m.,NBA LP,03-13-2020
12,New Orleans Pelicans,Utah Jazz,9:00 p.m.,NBA LP,03-13-2020
13,Brooklyn Nets,Los Angeles Clippers,10:30 p.m.,NBA TV,03-13-2020
14,Phoenix Suns,Dallas Mavericks,2:00 p.m.,NBA LP,03-14-2020
15,Cleveland Cavaliers,Atlanta Hawks,7:30 p.m.,NBA LP,03-14-2020
16,Indiana Pacers,Philadelphia 76ers,7:30 p.m.,NBA LP,03-14-2020
17,Detroit Pistons,Toronto Raptors,7:30 p.m.,NBA LP,03-14-2020
18,Chicago Bulls,Miami Heat,8:00 p.m.,NBA LP,03-14-2020
19,Golden State Warriors,Milwaukee Bucks,8:30 p.m.,ABC,03-14-2020
20,Minnesota Timberwolves,San Antonio Spurs,8:30 p.m.,NBA LP,03-14-2020
21,Memphis Grizzlies,Utah Jazz,9:00 p.m.,NBA LP,03-14-2020
22,New Orleans Pelicans,Los Angeles Clippers,10:30 p.m.,NBA LP,03-14-2020
23,Houston Rockets,Portland Trail Blazers,3:30 p.m.,ABC,03-15-2020
24,Charlotte Hornets,Orlando Magic,6:00 p.m.,NBA LP,03-15-2020
25,Oklahoma City Thunder,Washington Wizards,6:00 p.m.,NBA LP,03-15-2020
26,Boston Celtics,Chicago Bulls,8:00 p.m.,NBA LP,03-15-2020
27,Denver Nuggets,Los Angeles Lakers,9:00 p.m.,ESPN,03-15-2020
28,Brooklyn Nets,Sacramento Kings,9:00 p.m.,NBA LP,03-15-2020
29,Washington Wizards,Philadelphia 76ers,7:00 p.m.,NBA LP,03-16-2020
30,Golden State Warriors,Toronto Raptors,8:00 p.m.,ESPN,03-16-2020
31,Miami Heat,Milwaukee Bucks,8:00 p.m.,NBA LP,03-16-2020
32,Atlanta Hawks,New Orleans Pelicans,8:00 p.m.,NBA LP,03-16-2020
33,Memphis Grizzlies,San Antonio Spurs,8:30 p.m.,NBA LP,03-16-2020
34,Los Angeles Lakers,Utah Jazz,9:00 p.m.,NBA LP,03-16-2020
35,Dallas Mavericks,Los Angeles Clippers,10:30 p.m.,ESPN,03-16-2020
36,Orlando Magic,Detroit Pistons,7:00 p.m.,NBA TV,03-17-2020
37,Charlotte Hornets,New York Knicks,7:30 p.m.,NBA LP,03-17-2020
38,Cleveland Cavaliers,Houston Rockets,8:00 p.m.,NBA LP,03-17-2020
39,Oklahoma City Thunder,Memphis Grizzlies,8:00 p.m.,NBA LP,03-17-2020
40,Minnesota Timberwolves,Portland Trail Blazers,10:00 p.m.,NBA LP,03-17-2020
41,Dallas Mavericks,Sacramento Kings,10:00 p.m.,NBA TV,03-17-2020
42,Toronto Raptors,Philadelphia 76ers,7:00 p.m.,NBA LP,03-18-2020
43,Oklahoma City Thunder,Atlanta Hawks,7:30 p.m.,NBA LP,03-18-2020
44,New York Knicks,Boston Celtics,7:30 p.m.,NBA LP,03-18-2020
45,Washington Wizards,Brooklyn Nets,7:30 p.m.,NBA LP,03-18-2020
46,Golden State Warriors,Indiana Pacers,7:30 p.m.,ESPN,03-18-2020
47,Miami Heat,Chicago Bulls,8:00 p.m.,NBA LP,03-18-2020
48,San Antonio Spurs,New Orleans Pelicans,8:00 p.m.,NBA LP,03-18-2020
49,Los Angeles Clippers,Denver Nuggets,9:00 p.m.,NBA LP,03-18-2020
50,Utah Jazz,Los Angeles Lakers,10:00 p.m.,ESPN,03-18-2020
51,Minnesota Timberwolves,Phoenix Suns,10:00 p.m.,NBA LP,03-18-2020
52,Philadelphia 76ers,Charlotte Hornets,7:00 p.m.,NBA LP,03-19-2020
