"","game_id","date_game","game_start_time","visitor_team_name","visitor_pts","home_team_name","home_pts","overtimes","attendance","game_remarks","home_team_wins"
"1","201810160BOS",2018-10-16,"8:00p","Philadelphia 76ers",87,"Boston Celtics",105,"",18624,"",1
"2","201810160GSW",2018-10-16,"10:30p","Oklahoma City Thunder",100,"Golden State Warriors",108,"",19596,"",1
"3","201810170CHO",2018-10-17,"7:00p","Milwaukee Bucks",113,"Charlotte Hornets",112,"",17889,"",0
"4","201810170DET",2018-10-17,"7:00p","Brooklyn Nets",100,"Detroit Pistons",103,"",20332,"",1
"5","201810170IND",2018-10-17,"7:00p","Memphis Grizzlies",83,"Indiana Pacers",111,"",17923,"",1
"6","201810170ORL",2018-10-17,"7:00p","Miami Heat",101,"Orlando Magic",104,"",19191,"",1
"7","201810170NYK",2018-10-17,"7:30p","Atlanta Hawks",107,"New York Knicks",126,"",18249,"",1
"8","201810170TOR",2018-10-17,"7:30p","Cleveland Cavaliers",104,"Toronto Raptors",116,"",19915,"",1
"9","201810170HOU",2018-10-17,"8:00p","New Orleans Pelicans",131,"Houston Rockets",112,"",18055,"",0
"10","201810170SAS",2018-10-17,"8:30p","Minnesota Timberwolves",108,"San Antonio Spurs",112,"",18354,"",1
"11","201810170SAC",2018-10-17,"10:00p","Utah Jazz",123,"Sacramento Kings",117,"",17583,"",0
"12","201810170LAC",2018-10-17,"10:30p","Denver Nuggets",107,"Los Angeles Clippers",98,"",19068,"",0
"13","201810170PHO",2018-10-17,"10:30p","Dallas Mavericks",100,"Phoenix Suns",121,"",18055,"",1
"14","201810180PHI",2018-10-18,"8:00p","Chicago Bulls",108,"Philadelphia 76ers",127,"",20302,"",1
"15","201810180WAS",2018-10-18,"8:00p","Miami Heat",113,"Washington Wizards",112,"",20409,"",0
"16","201810180POR",2018-10-18,"10:30p","Los Angeles Lakers",119,"Portland Trail Blazers",128,"",19996,"",1
"17","201810190ORL",2018-10-19,"7:00p","Charlotte Hornets",120,"Orlando Magic",88,"",17668,"",0
"18","201810190BRK",2018-10-19,"7:30p","New York Knicks",105,"Brooklyn Nets",107,"",17732,"",1
"19","201810190MEM",2018-10-19,"8:00p","Atlanta Hawks",117,"Memphis Grizzlies",131,"",17019,"",1
"20","201810190MIN",2018-10-19,"8:00p","Cleveland Cavaliers",123,"Minnesota Timberwolves",131,"",18978,"",1
"21","201810190NOP",2018-10-19,"8:00p","Sacramento Kings",129,"New Orleans Pelicans",149,"",18337,"",1
"22","201810190TOR",2018-10-19,"8:00p","Boston Celtics",101,"Toronto Raptors",113,"",19800,"",1
"23","201810190MIL",2018-10-19,"8:30p","Indiana Pacers",101,"Milwaukee Bucks",118,"",17341,"",1
"24","201810190LAC",2018-10-19,"10:30p","Oklahoma City Thunder",92,"Los Angeles Clippers",108,"",14816,"",1
"25","201810190UTA",2018-10-19,"10:30p","Golden State Warriors",124,"Utah Jazz",123,"",18306,"",0
"26","201810200IND",2018-10-20,"7:00p","Brooklyn Nets",112,"Indiana Pacers",132,"",17007,"",1
"27","201810200WAS",2018-10-20,"7:00p","Toronto Raptors",117,"Washington Wizards",113,"",16185,"",0
"28","201810200NYK",2018-10-20,"7:30p","Boston Celtics",103,"New York Knicks",101,"",19427,"",0
"29","201810200PHI",2018-10-20,"7:30p","Orlando Magic",115,"Philadelphia 76ers",116,"",20300,"",1
"30","201810200CHI",2018-10-20,"8:00p","Detroit Pistons",118,"Chicago Bulls",116,"",21289,"",0
"31","201810200MIA",2018-10-20,"8:00p","Charlotte Hornets",113,"Miami Heat",112,"",19600,"",0
"32","201810200DAL",2018-10-20,"8:30p","Minnesota Timberwolves",136,"Dallas Mavericks",140,"",20205,"",1
"33","201810200DEN",2018-10-20,"9:00p","Phoenix Suns",91,"Denver Nuggets",119,"",19592,"",1
"34","201810200POR",2018-10-20,"10:00p","San Antonio Spurs",108,"Portland Trail Blazers",121,"",19461,"",1
"35","201810200LAL",2018-10-20,"10:30p","Houston Rockets",124,"Los Angeles Lakers",115,"",18997,"",0
"36","201810210CLE",2018-10-21,"6:00p","Atlanta Hawks",133,"Cleveland Cavaliers",111,"",19432,"",0
"37","201810210OKC",2018-10-21,"7:00p","Sacramento Kings",131,"Oklahoma City Thunder",120,"",18203,"",0
"38","201810210DEN",2018-10-21,"8:00p","Golden State Warriors",98,"Denver Nuggets",100,"",19520,"",1
"39","201810210LAC",2018-10-21,"9:00p","Houston Rockets",112,"Los Angeles Clippers",115,"",16149,"",1
"40","201810220BOS",2018-10-22,"7:30p","Orlando Magic",93,"Boston Celtics",90,"",18624,"",0
"41","201810220TOR",2018-10-22,"7:30p","Charlotte Hornets",106,"Toronto Raptors",127,"",19800,"",1
"42","201810220MIL",2018-10-22,"8:00p","New York Knicks",113,"Milwaukee Bucks",124,"",16228,"",1
"43","201810220MIN",2018-10-22,"8:00p","Indiana Pacers",91,"Minnesota Timberwolves",101,"",10371,"",1
"44","201810220DAL",2018-10-22,"8:30p","Chicago Bulls",109,"Dallas Mavericks",115,"",19291,"",1
"45","201810220UTA",2018-10-22,"9:00p","Memphis Grizzlies",92,"Utah Jazz",84,"",18306,"",0
"46","201810220POR",2018-10-22,"10:00p","Washington Wizards",125,"Portland Trail Blazers",124,"OT",19187,"",0
"47","201810220GSW",2018-10-22,"10:30p","Phoenix Suns",103,"Golden State Warriors",123,"",19596,"",1
"48","201810220LAL",2018-10-22,"10:30p","San Antonio Spurs",143,"Los Angeles Lakers",142,"OT",18997,"",0
"49","201810230DET",2018-10-23,"7:00p","Philadelphia 76ers",132,"Detroit Pistons",133,"OT",14418,"",1
"50","201810230NOP",2018-10-23,"8:00p","Los Angeles Clippers",109,"New Orleans Pelicans",116,"",14625,"",1
"51","201810230DEN",2018-10-23,"9:00p","Sacramento Kings",112,"Denver Nuggets",126,"",13214,"",1
"52","201810240ATL",2018-10-24,"7:00p","Dallas Mavericks",104,"Atlanta Hawks",111,"",16705,"",1
"53","201810240CLE",2018-10-24,"7:00p","Brooklyn Nets",102,"Cleveland Cavaliers",86,"",19432,"",0
"54","201810240MIA",2018-10-24,"7:30p","New York Knicks",87,"Miami Heat",110,"",19600,"",1
"55","201810240TOR",2018-10-24,"7:30p","Minnesota Timberwolves",105,"Toronto Raptors",112,"",19800,"",1
"56","201810240CHI",2018-10-24,"8:00p","Charlotte Hornets",110,"Chicago Bulls",112,"",19170,"",1
"57","201810240HOU",2018-10-24,"8:00p","Utah Jazz",100,"Houston Rockets",89,"",18055,"",0
